bank,series,count
AC Schnitzer,AC Schnitzer M3,1
AC Schnitzer,AC Schnitzer X5,1
ALPINA,ALPINA B4,1
阿尔法·罗密欧,Giulia,10
阿尔法·罗密欧,Stelvio,4
阿尔法·罗密欧,ALFA 156 (停售),1
阿尔法·罗密欧,ALFA GT (停售),1
阿斯顿·马丁,Rapide,9
阿斯顿·马丁,V8 Vantage,17
阿斯顿·马丁,V12 Vantage,6
阿斯顿·马丁,阿斯顿·马丁DB9,16
阿斯顿·马丁,Vanquish,7
阿斯顿·马丁,阿斯顿·马丁DB11,10
阿斯顿·马丁,阿斯顿·马丁DBS,5
阿斯顿·马丁,Virage,2
阿斯顿·马丁,拉共达Taraf (停售),1
阿斯顿·马丁,V12 Zagato (停售),1
奥迪,奥迪A3,80
奥迪,奥迪A4L,93
奥迪,奥迪A6L,108
奥迪,奥迪A6L新能源,1
奥迪,奥迪Q2L,6
奥迪,奥迪Q3,53
奥迪,奥迪Q5L,6
奥迪,奥迪Q5,46
奥迪,奥迪A4 (停售),45
奥迪,奥迪A6 (停售),12
奥迪,奥迪RS 4,1
奥迪,奥迪RS 3,1
奥迪,奥迪RS 6,2
奥迪,奥迪RS 7,3
奥迪,奥迪R8,12
奥迪,奥迪TT RS,1
奥迪,奥迪RS 5,3
奥迪,奥迪A1,19
奥迪,奥迪A3(进口),22
奥迪,奥迪A3新能源(进口),3
奥迪,奥迪S3,4
奥迪,奥迪A4(进口),8
奥迪,奥迪A5,71
奥迪,奥迪S4,1
奥迪,奥迪S5,13
奥迪,奥迪A6(进口),10
奥迪,奥迪S6,4
奥迪,奥迪A7,29
奥迪,奥迪S7,3
奥迪,奥迪A8,95
奥迪,奥迪S8,6
奥迪,奥迪Q7,72
奥迪,奥迪Q7新能源,1
奥迪,奥迪TT,38
奥迪,奥迪TTS,10
奥迪,奥迪Q5(进口),8
奥迪,奥迪SQ5,2
奥迪,奥迪Q3(进口),4
巴博斯,巴博斯 smart forfour,1
巴博斯,巴博斯 smart fortwo,6
巴博斯,巴博斯 SLK级,1
巴博斯,巴博斯 CLS级,1
巴博斯,巴博斯 S级,6
巴博斯,巴博斯 M级,1
宝骏,宝骏E100,4
宝骏,宝骏E200,2
宝骏,宝骏310,10
宝骏,宝骏310W,6
宝骏,宝骏510,10
宝骏,宝骏530,8
宝骏,宝骏360,5
宝骏,宝骏730,37
宝骏,宝骏560,22
宝骏,乐驰 (停售),41
宝骏,宝骏330 (停售),2
宝骏,宝骏610 (停售),8
宝骏,宝骏630 (停售),31
宝马,宝马1系,10
宝马,宝马2系旅行车,9
宝马,宝马3系,144
宝马,宝马5系,119
宝马,宝马5系新能源,4
宝马,宝马X1,47
宝马,宝马X1新能源,3
宝马,宝马X3,6
宝马,宝马i3,8
宝马,宝马1系(进口),37
宝马,宝马3系GT,27
宝马,宝马4系,67
宝马,宝马5系(进口),31
宝马,宝马6系,37
宝马,宝马6系GT,3
宝马,宝马7系,67
宝马,宝马7系新能源,5
宝马,宝马X2,5
宝马,宝马X4,10
宝马,宝马X5,51
宝马,宝马X5新能源,2
宝马,宝马X6,28
宝马,宝马2系多功能旅行车,4
宝马,宝马2系,20
宝马,宝马i8,3
宝马,宝马3系(进口),60
宝马,宝马X3(进口),32
宝马,宝马Z4,22
宝马,宝马2系旅行车(进口),3
宝马,宝马X1(进口),6
宝马,宝马5系GT (停售),24
宝马,宝马M3,14
宝马,宝马M4,15
宝马,宝马M5,5
宝马,宝马M6,7
宝马,宝马X5 M,3
宝马,宝马X6 M,3
宝马,宝马M2,3
宝马,宝马1系M (停售),1
宝沃,宝沃BX5,24
宝沃,宝沃BX6,2
宝沃,宝沃BX7,29
宝沃,宝沃BXi7,2
保时捷,Panamera,37
保时捷,Panamera新能源,6
保时捷,Macan,12
保时捷,Cayenne,33
保时捷,保时捷718,10
保时捷,保时捷911,108
保时捷,Cayenne新能源,2
保时捷,918 Spyder (停售),2
保时捷,Boxster (停售),14
